Date,ArrivalTimeInMS1
2022-11-23 09:38:35.097,1669192715097
2022-11-23 09:38:35.351,1669192715351
2022-11-23 09:38:35.352,1669192715352
2022-11-23 09:38:35.352,1669192715352
2022-11-23 09:38:35.366,1669192715366
2022-11-23 09:38:35.366,1669192715366
2022-11-23 09:38:35.37,1669192715370
2022-11-23 09:38:35.539,1669192715539
2022-11-23 09:38:35.551,1669192715551
2022-11-23 09:38:35.834,1669192715834
2022-11-23 09:38:35.835,1669192715835
2022-11-23 09:38:35.839,1669192715839
2022-11-23 09:38:35.843,1669192715843
2022-11-23 09:38:35.904,1669192715904
2022-11-23 09:38:35.904,1669192715904
2022-11-23 09:38:35.904,1669192715904
2022-11-23 09:38:36.169,1669192716169
2022-11-23 09:38:36.17,1669192716170
2022-11-23 09:38:36.17,1669192716170
2022-11-23 09:38:36.178,1669192716178
2022-11-23 09:38:36.19,1669192716190
2022-11-23 09:38:36.405,1669192716405
2022-11-23 09:38:36.405,1669192716405
2022-11-23 09:38:36.42,1669192716420
2022-11-23 09:38:36.631,1669192716631
2022-11-23 09:38:36.634,1669192716634
2022-11-23 09:38:36.635,1669192716635
2022-11-23 09:38:36.693,1669192716693
2022-11-23 09:38:36.915,1669192716915
2022-11-23 09:38:36.919,1669192716919
2022-11-23 09:38:36.928,1669192716928
2022-11-23 09:38:36.982,1669192716982
2022-11-23 09:38:37.145,1669192717145
2022-11-23 09:38:37.145,1669192717145
2022-11-23 09:38:37.653,1669192717653
2022-11-23 09:39:14.329,1669192754329
2022-11-23 09:39:14.47,1669192754470
2022-11-23 09:39:14.477,1669192754477
2022-11-23 09:39:14.709,1669192754709
2022-11-23 09:39:14.878,1669192754878
2022-11-23 09:39:14.885,1669192754885
2022-11-23 09:39:14.885,1669192754885
2022-11-23 09:39:15.072,1669192755072
2022-11-23 09:39:15.072,1669192755072
2022-11-23 09:39:15.075,1669192755075
2022-11-23 09:39:15.218,1669192755218
2022-11-23 09:39:15.221,1669192755221
2022-11-23 09:39:15.221,1669192755221
2022-11-23 09:39:15.392,1669192755392
2022-11-23 09:39:15.462,1669192755462
2022-11-23 09:39:15.588,1669192755588
2022-11-23 09:39:15.592,1669192755592
2022-11-23 09:39:15.592,1669192755592
2022-11-23 09:39:15.595,1669192755595
2022-11-23 09:39:15.761,1669192755761
2022-11-23 09:39:15.884,1669192755884
2022-11-23 09:39:15.889,1669192755889
2022-11-23 09:39:15.889,1669192755889
2022-11-23 09:39:15.889,1669192755889
2022-11-23 09:39:15.889,1669192755889
2022-11-23 09:39:16.058,1669192756058
2022-11-23 09:39:16.141,1669192756141
2022-11-23 09:39:16.291,1669192756291
2022-11-23 09:39:16.291,1669192756291
2022-11-23 09:39:16.296,1669192756296
2022-11-23 09:39:16.43,1669192756430
2022-11-23 09:39:16.644,1669192756644
2022-11-23 09:39:16.648,1669192756648
2022-11-23 09:39:16.705,1669192756705
2022-11-23 09:39:16.872,1669192756872
2022-11-23 09:39:16.878,1669192756878
2022-11-23 09:39:16.893,1669192756893
2022-11-23 09:39:17.045,1669192757045
2022-11-23 09:39:17.045,1669192757045
2022-11-23 09:39:17.055,1669192757055
2022-11-23 09:39:17.184,1669192757184
2022-11-23 09:39:17.192,1669192757192
2022-11-23 09:39:17.339,1669192757339
2022-11-23 09:39:17.402,1669192757402
2022-11-23 09:39:17.528,1669192757528
2022-11-23 09:39:17.533,1669192757533
2022-11-23 09:39:17.535,1669192757535
2022-11-23 09:39:17.649,1669192757649
2022-11-23 09:39:17.716,1669192757716
2022-11-23 09:39:17.855,1669192757855
2022-11-23 09:39:17.859,1669192757859
2022-11-23 09:39:17.992,1669192757992
2022-11-23 09:39:17.995,1669192757995
2022-11-23 09:39:18.113,1669192758113
2022-11-23 09:39:18.184,1669192758184
2022-11-23 09:39:18.321,1669192758321
2022-11-23 09:39:18.327,1669192758327
2022-11-23 09:39:18.381,1669192758381
2022-11-23 09:39:18.526,1669192758526
2022-11-23 09:39:18.53,1669192758530
2022-11-23 09:39:18.61,1669192758610
2022-11-23 09:39:18.75,1669192758750
2022-11-23 09:39:18.756,1669192758756
2022-11-23 09:39:19.397,1669192759397
2022-11-23 14:21:38.616,1669209698616
2022-11-23 14:21:38.894,1669209698894
2022-11-23 14:21:38.895,1669209698895
2022-11-23 14:21:38.905,1669209698905
2022-11-23 14:21:38.905,1669209698905
2022-11-23 14:21:38.905,1669209698905
2022-11-23 14:21:38.915,1669209698915
2022-11-23 14:21:38.994,1669209698994
2022-11-23 14:21:39.034,1669209699034
2022-11-23 14:21:39.251,1669209699251
2022-11-23 14:21:39.251,1669209699251
2022-11-23 14:21:39.251,1669209699251
2022-11-23 14:21:39.275,1669209699275
2022-11-23 14:21:39.528,1669209699528
2022-11-23 14:21:39.558,1669209699558
2022-11-23 14:21:39.559,1669209699559
2022-11-23 14:21:39.793,1669209699793
2022-11-23 14:21:39.793,1669209699793
2022-11-23 14:21:39.798,1669209699798
2022-11-23 14:21:39.799,1669209699799
2022-11-23 14:21:39.799,1669209699799
2022-11-23 14:21:39.999,1669209699999
2022-11-23 14:21:39.999,1669209699999
2022-11-23 14:21:40.004,1669209700004
2022-11-23 14:21:40.059,1669209700059
2022-11-23 14:21:40.312,1669209700312
2022-11-23 14:21:40.324,1669209700324
2022-11-23 14:21:40.387,1669209700387
2022-11-23 14:21:40.622,1669209700622
2022-11-23 14:21:40.622,1669209700622
2022-11-23 14:21:40.628,1669209700628
2022-11-23 14:21:40.628,1669209700628
2022-11-23 14:21:40.824,1669209700824
2022-11-23 14:21:40.825,1669209700825
2022-11-23 14:21:40.828,1669209700828
2022-11-23 14:21:41.042,1669209701042
2022-11-23 14:21:41.042,1669209701042
2022-11-23 14:21:41.103,1669209701103
2022-11-23 14:21:41.238,1669209701238
2022-11-23 14:21:41.275,1669209701275
2022-11-23 14:21:41.285,1669209701285
2022-11-23 14:21:41.436,1669209701436
2022-11-23 14:21:41.453,1669209701453
2022-11-23 14:21:41.51,1669209701510
2022-11-23 14:21:41.689,1669209701689
2022-11-23 14:21:41.693,1669209701693
2022-11-23 14:21:41.696,1669209701696
2022-11-23 14:21:41.765,1669209701765
2022-11-23 14:21:41.923,1669209701923
2022-11-23 14:21:41.924,1669209701924
2022-11-23 14:21:41.927,1669209701927
2022-11-23 14:21:42.147,1669209702147
2022-11-23 14:21:42.152,1669209702152
2022-11-23 14:21:42.332,1669209702332
2022-11-23 14:21:42.336,1669209702336
2022-11-23 14:21:42.336,1669209702336
2022-11-23 14:21:42.39,1669209702390
2022-11-23 14:21:42.534,1669209702534
2022-11-23 14:21:42.541,1669209702541
2022-11-23 14:21:42.602,1669209702602
2022-11-23 14:21:42.76,1669209702760
2022-11-23 14:21:42.782,1669209702782
2022-11-23 14:21:42.995,1669209702995
2022-11-23 14:21:42.995,1669209702995
2022-11-23 14:21:43.048,1669209703048
2022-11-23 14:21:43.194,1669209703194
2022-11-23 14:21:43.195,1669209703195
2022-11-23 14:21:43.199,1669209703199
2022-11-23 14:21:43.256,1669209703256
2022-11-23 14:21:43.423,1669209703423
2022-11-23 14:21:43.435,1669209703435
2022-11-23 14:21:43.62,1669209703620
2022-11-23 14:21:43.624,1669209703624
2022-11-23 14:21:43.684,1669209703684
2022-11-23 14:21:43.827,1669209703827
2022-11-23 14:21:43.853,1669209703853
2022-11-23 14:21:43.956,1669209703956
2022-11-23 14:21:43.957,1669209703957
2022-11-23 14:21:44.157,1669209704157
2022-11-23 14:21:44.161,1669209704161
2022-11-23 14:21:44.321,1669209704321
2022-11-23 14:21:44.321,1669209704321
